Frame,Marker ID,2D Coordinates,Distance,Yaw,Pitch,Roll
105,427,"(877.0,254.0),(1313.0,233.0),(1322.0,698.0),(879.0,699.0)",0.0022909222346279663,4.103642489361976,3.6555953024940404,-2.7575278
107,813,"(1334.0,229.0),(1314.0,673.0),(876.0,670.0),(873.0,229.0)",0.0022499707321159495,4.148173099044454,4.750469995060651,92.57915
108,813,"(1334.0,221.0),(1314.0,666.0),(876.0,664.0),(873.0,220.0)",0.002244924803788311,4.148173099044454,5.14539581611202,92.57336
109,813,"(1341.0,214.0),(1316.0,661.0),(873.0,660.0),(869.0,205.0)",0.002233645844708445,4.163015522751565,5.552971033036804,93.201126
110,813,"(1340.0,200.0),(1315.0,644.0),(876.0,642.0),(873.0,193.0)",0.002248690419877468,4.200119129067429,6.353292581931127,93.22271
113,813,"(1354.0,160.0),(1318.0,614.0),(877.0,613.0),(872.0,152.0)",0.0021957508388353864,4.326244812690884,8.180229882497523,94.53379
117,427,"(881.0,219.0),(1319.0,197.0),(1325.0,676.0),(886.0,674.0)",0.002280230503135004,4.252058242819029,5.211170171047314,-2.8754535
118,813,"(1345.0,236.0),(1324.0,688.0),(889.0,684.0),(885.0,235.0)",0.002210005413730913,4.489403774329276,4.196821173169337,92.66006
119,813,"(1343.0,246.0),(1327.0,695.0),(888.0,692.0),(886.0,247.0)",0.002225758838540786,4.496818377612849,3.7084281571304536,92.04085
120,813,"(1349.0,258.0),(1325.0,701.0),(890.0,698.0),(888.0,254.0)",0.0022540309685750194,4.556129750252514,3.2988151464386797,93.10103
121,813,"(1349.0,262.0),(1326.0,701.0),(890.0,698.0),(888.0,258.0)",0.0022747844983932878,4.563542986474791,3.1930520530821216,92.99908
122,813,"(1353.0,262.0),(1328.0,695.0),(890.0,694.0),(888.0,254.0)",0.002305629125116898,4.608019179906914,3.3781227392942106,93.3044
123,813,"(1352.0,255.0),(1325.0,694.0),(890.0,690.0),(888.0,248.0)",0.002273608304776194,4.578368999335576,3.615966571011397,93.51945
124,427,"(886.0,251.0),(1322.0,224.0),(1328.0,694.0),(892.0,694.0)",0.0022891927856894152,4.378166780353774,3.9328962722305385,-3.5436077
125,427,"(887.0,254.0),(1322.0,231.0),(1327.0,698.0),(889.0,696.0)",0.0022956438742325115,4.3559153857193085,3.7216353876162414,-3.0266135
129,427,"(877.0,363.0),(1300.0,339.0),(1316.0,794.0),(881.0,794.0)",0.002360270244028087,3.9774456328295362,-1.7236583813450557,-3.2473426
135,813,"(1327.0,290.0),(1318.0,727.0),(885.0,727.0),(882.0,292.0)",0.0022878442981199083,4.259477546721798,1.6441496380560756,91.17983
136,427,"(880.0,268.0),(1314.0,236.0),(1327.0,710.0),(885.0,709.0)",0.002297909588113311,4.214959585268765,3.140162291622567,-4.216943
138,813,"(1342.0,217.0),(1326.0,674.0),(889.0,675.0),(884.0,221.0)",0.002186843952653707,4.474574115973702,4.934827315150902,92.00516
140,813,"(1329.0,261.0),(1315.0,700.0),(885.0,697.0),(882.0,264.0)",0.0022767468949898436,4.252058242819029,3.1533852377390104,91.82658
142,813,"(1340.0,227.0),(1322.0,676.0),(884.0,675.0),(881.0,228.0)",0.0022253839649838876,4.370749795501027,4.6846039946649025,92.2957
143,427,"(878.0,236.0),(1314.0,201.0),(1315.0,695.0),(879.0,694.0)",0.002286223487136888,4.066529851744259,4.421017584357401,-4.5895896
145,813,"(1312.0,264.0),(1297.0,700.0),(864.0,697.0),(864.0,264.0)",0.0022922217587443595,3.70264986961056,3.1137153962608637,91.970406
146,427,"(844.0,247.0),(1294.0,219.0),(1298.0,696.0),(849.0,699.0)",0.0022179328889841607,3.3161647743298253,3.959296471724911,-3.5604804
